Country;Abbreviation;Year;GDP
United Kingdom;GBR;2016;2,46006E+12
United States;USA;2016;1,71626E+13
Uruguay;URY;2016;65763794944
Uzbekistan;UZB;2016;3,05963E+11
Venezuela;VEN;2016;4,56477E+11
Vietnam;VNM;2016;5,77683E+11
Western Europe;;2016;1,61037E+13
Western Offshoots;;2016;2,01366E+13
World;OWID_WRL;2016;1,07134E+14
Yemen;YEM;2016;72188813312
Yugoslavia;OWID_YGS;2016;3,36331E+11
Zambia;ZMB;2016;56618332160
Zimbabwe;ZWE;2016;20961794048
